2018/Dec/56308-ms-dhoni-discloses-his-worst-fear-before-the-start-of-ipl-2018-season.txt|“நேர்மையான கிரிக்கெட்டை விளையாட தென் இந்தியா என்னை தயார்ப்படுத்தியது” - தோனி|sports|>>  விளையாட்டு
2018/Dec/56306-makedatu-issue-gadkari-letter-to-tn-and-karnataka-cm.txt|மேகதாது விவகாரம்: தமிழக, கர்நாடகா முதலமைச்சர்களுக்கு நிதின் கட்கரி கடிதம்|tamilnadu|>>  தமிழ்நாடு
2018/Dec/55559-the-truth-can-not-be-answered-without-knowing.txt|உண்மை நிலை தெரியாமல் பதிலளிக்க முடியாது - நடிகர் ரஜினிகாந்த்|politics|>>  அரசியல்
2018/Dec/56068-karnataka-could-not-build-dam-with-out-tn-permission-nithin-gadkari.txt|“தமிழகத்தின் அனுமதி இல்லாமல் மேகதாது அணை கட்ட முடியாது”- நிதின் கட்கரி..!|india|>>  இந்தியா
2018/Dec/56349-anil-kumble-ms-dhoni-differ-over-resting-bowlers.txt|“பந்துவீச்சாளர்கள் ஐபிஎல் விளையாடலாமா?” - எதிரெதிர் கருத்தில் தோனி, கும்பளே |sports|>>  விளையாட்டு
2018/Dec/56305-government-ordered-to-inspect-johnson-and-johnson-powder-sample.txt|ஜான்சன் அன்ட் ஜான்சன் பவுடரை ஆய்வு செய்ய மத்திய அரசு அறிவுறுத்தல்|india|>>  இந்தியா
2018/Dec/56067-moderate-rain-likely-in-tamilnadu-for-two-days.txt|தமிழகத்தில் 2 தினங்களுக்கு மழைக்கு வாய்ப்பு : வானிலை மையம் தகவல்|tamilnadu|>>  தமிழ்நாடு
2018/Dec/56286-problem-won-t-get-solved-if-we-catch-leopard-inside-gage.txt|சிறுத்தையை கூண்டு வைத்து பிடித்தாலும் பிரச்னை முடியாது !|special-news|>>  சிறப்புச் செய்திகள்
2018/Dec/56378-i-was-also-an-accidental-prime-minister-says-deve-gowda.txt|'நானும்தான் ஆக்சிடெண்டல் பிரைம் மினிஸ்டர்' - தேவகவுடா |india|>>  இந்தியா
2018/Dec/56203-bjp-veteran-laxmi-kanta-chawla-slams-modi-and-goyal-for-railway-passengers-plight.txt|“புல்லட் ரயில் இருக்கட்டும்.. இந்த ரயிலை கவனியுங்கள்” - பிரதமரை விமர்சித்த பாஜக முன்னாள் அமைச்சர்|india|>>  இந்தியா
2018/Dec/56194-china-builds-a-high-speed-railway-in-under-railway.txt|ஆற்றுக்கு அடியில் 28 கி.மீ ரயில் பாதை - சீனா புதிய கட்டுமானம்|world|>>  உலகம்
2018/Dec/56368-aus-v-ind-3rd-test-india-won-the-match.txt|மெல்போர்ன் டெஸ்ட்: இந்திய அணி அபார வெற்றி!|sports|>>  விளையாட்டு
2018/Dec/55525-cine-artists-birthday-wishes-to-for-rajinikanth.txt|ரஜினிகாந்துக்கு பிரபலங்கள் பிறந்தநாள் வாழ்த்து|cinema|>>  சினிமா
2018/Dec/56305-government-ordered-to-inspect-johnson-and-johnson-powder-sample.txt|ஜான்சன் அன்ட் ஜான்சன் பவுடரை ஆய்வு செய்ய மத்திய அரசு அறிவுறுத்தல்|india|>>  இந்தியா
2018/Dec/56068-karnataka-could-not-build-dam-with-out-tn-permission-nithin-gadkari.txt|“தமிழகத்தின் அனுமதி இல்லாமல் மேகதாது அணை கட்ட முடியாது”- நிதின் கட்கரி..!|india|>>  இந்தியா
2018/Dec/56399-dmk-president-stalin-urged-the-minister-to-be-dismissed.txt|கர்ப்பிணிக்கு எச்.ஐ.வி ரத்தம்: அமைச்சரை டிஸ்மிஸ் செய்ய ஸ்டாலின் வலியுறுத்தல்|politics|>>  அரசியல்
2018/Dec/56360-health-minister-vijayabaskar-said-that-tamil-nadu-would-be-created-as-a-state-without-a-tb-project-by-2025.txt|“காசநோய் இல்லாத மாநிலமாக தமிழகம் உருவாக்கப்படும்” - அமைச்சர் விஜயபாஸ்கர்|tamilnadu|>>  தமிழ்நாடு
2018/Dec/55575-arumugasamy-commission-summons-ops-and-health-minister-vijayabaskar.txt|துணை முதல்வர் பன்னீர்செல்வம் ஆஜராக ஆறுமுகசாமி ஆணையம் சம்மன்|tamilnadu|>>  தமிழ்நாடு
2018/Dec/55626-m-r-vijayabaskar-speech-about-senthilbalaji.txt|”தினகரன் ஃப்பியூஸ் போன பல்பு” - அமைச்சர் எம்.ஆர்.விஜயபாஸ்கர்|politics|>>  அரசியல்
2018/Dec/55560-new-secretariat-building-case-hc-cancel-govt-order.txt|புதிய தலைமைச் செயலக கட்டிட முறைகேடு வழக்கு: லஞ்ச ஒழிப்புத்துறைக்கு மாற்றிய அரசாணை ரத்து|tamilnadu|>>  தமிழ்நாடு
2018/Dec/55625-ttv-dhinakaran-speaks-about-senthilbalaji.txt|செந்தில் பாலாஜி எங்கிருந்தாலும் வாழ்க - டிடிவி தினகரன் |politics|>>  அரசியல்
2018/Dec/56122-krishnagiri-tiruvannamalai-villupuram-district-aiadmk-party-shuffled-by-ops-eps.txt|அதிமுக வடக்கு மாவட்ட பொறுப்பாளர்கள் அதிரடி மாற்றம் |politics|>>  அரசியல்
